Scope,      Name,       Type,       CName       Offset,     Child       
0,          f,          func,       None,       None,       1           
0,          main,       func,       None,       None,       2           
1,          d,          *arr_1_int, var0,       4,                      
1,          c,          *arr_1_int, var1,       -4,                     
1,          var2,       ,           None,       -8,                     
1,          var3,       ,           None,       -12,                    
1,          temp_c0,    int,        None,       -16,                    
1,          var4,       ,           None,       -20,                    
1,          temp_c1,    int,        None,       -24,                    
1,          temp_c2,    int,        None,       -28,                    
1,          var5,       ,           None,       -32,                    
1,          var6,       ,           None,       -36,                    
1,          temp_c3,    int,        None,       -40,                    
1,          var7,       ,           None,       -44,                    
1,          temp_c4,    int,        None,       -48,                    
1,          temp_c5,    int,        None,       -52,                    
2,          a,          arr_1_int,  var8,       -40,                    
2,          b,          *arr_1_int, var9,       -44,                    
2,          var10,      ,           None,       -48,                    
2,          temp_c6,    int,        None,       -52,                    
2,          temp_c7,    int,        None,       -56,                    
2,          var11,      ,           None,       -60,                    
2,          temp_c8,    int,        None,       -64,                    
2,          temp_c9,    int,        None,       -68,                    
2,          temp_str0,  string,     None,       -100,                   
2,          var12,      ,           None,       -104,                   
2,          var13,      ,           None,       -108,                   
2,          temp_c10,   int,        None,       -112,                   
2,          var14,      ,           None,       -116,                   
2,          temp_c11,   int,        None,       -120,                   
2,          temp_c12,   int,        None,       -124,                   
2,          temp_c13,   int,        None,       -128,                   
2,          temp_c14,   int,        None,       -132,                   
2,          var15,      ,           None,       -136,                   
2,          temp_c15,   int,        None,       -140,                   
2,          var16,      ,           None,       -144,                   
2,          var17,      ,           None,       -148,                   
2,          temp_c16,   int,        None,       -152,                   
2,          var18,      ,           None,       -156,                   
2,          temp_c17,   int,        None,       -160,                   
